name,eval_task_name,model_name,task_name,epochs,batch_size,learning_rate,weight_decay,warmup_steps,max_seq_length,do_lower_case,training_time,accuracy,eval_time,z_amb_precision,z_amb_recall,z_amb_f1-score,z_amb_support,z_minus_m_precision,z_minus_m_recall,z_minus_m_f1-score,z_minus_m_support,z_plus_m_precision,z_plus_m_recall,z_plus_m_f1-score,z_plus_m_support,z_zero_precision,z_zero_recall,z_zero_f1-score,z_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_hotels_sentence-run-1,multiemo_en_hotels_sentence,bert-base-uncased,multiemo_en_hotels_sentence,4,16,5e-05,0.01,0,128,True,611.445775,0.8217303822937626,5.050076,0.5838926174496645,0.6062717770034843,0.5948717948717949,287,0.8518173345759553,0.8848015488867377,0.8679962013295348,1033,0.8735955056179775,0.8591160220994475,0.8662952646239555,724,0.8258706467661692,0.7528344671201814,0.7876631079478055,441,0.7837940261024416,0.7757559537774628,0.7792065921932727,2485,0.8226143215759807,0.8217303822937626,0.8217003956918876,2485,438025389,437945360,109485316
multiemo_en_hotels_sentence-run-2,multiemo_en_hotels_sentence,bert-base-uncased,multiemo_en_hotels_sentence,4,16,5e-05,0.01,0,128,True,612.497223,0.8221327967806841,5.127907,0.7038834951456311,0.5052264808362369,0.5882352941176471,287,0.8410117434507678,0.9012584704743466,0.8700934579439251,1033,0.8744710860366713,0.856353591160221,0.8653175157013259,724,0.7494600431965442,0.7868480725623582,0.7676991150442478,441,0.7922065919574036,0.7624216537582907,0.7728363457017865,2485,0.8186755088256198,0.8221327967806841,0.8179779728652364,2485,438025389,437945360,109485316
multiemo_en_hotels_sentence-run-3,multiemo_en_hotels_sentence,bert-base-uncased,multiemo_en_hotels_sentence,4,16,5e-05,0.01,0,128,True,611.088453,0.8249496981891348,5.160361,0.6798245614035088,0.5400696864111498,0.6019417475728156,287,0.8586046511627907,0.89351403678606,0.8757115749525617,1033,0.8412698412698413,0.8784530386740331,0.8594594594594595,724,0.7887323943661971,0.7619047619047619,0.7750865051903114,441,0.7921078620505845,0.7684853809440012,0.778049821793787,2485,0.8205064807922848,0.8249496981891348,0.8215006583166882,2485,438025389,437945360,109485316
multiemo_en_hotels_sentence-run-4,multiemo_en_hotels_sentence,bert-base-uncased,multiemo_en_hotels_sentence,4,16,5e-05,0.01,0,128,True,610.077677,0.813682092555332,5.102166,0.6083650190114068,0.5574912891986062,0.5818181818181818,287,0.815068493150685,0.9215876089060987,0.8650613357564744,1033,0.8779761904761905,0.8149171270718232,0.8452722063037249,724,0.837696335078534,0.7256235827664399,0.7776427703523694,441,0.7847765094292041,0.7549049019857421,0.7674486235576876,2485,0.8135393801027472,0.813682092555332,0.8110695038662165,2485,438025389,437945360,109485316
multiemo_en_hotels_sentence-run-5,multiemo_en_hotels_sentence,bert-base-uncased,multiemo_en_hotels_sentence,4,16,5e-05,0.01,0,128,True,613.151066,0.8217303822937626,5.394598,0.636734693877551,0.5435540069686411,0.5864661654135337,287,0.8464317976513098,0.9070667957405615,0.8757009345794393,1033,0.8475033738191633,0.8674033149171271,0.8573378839590444,724,0.8188775510204082,0.7278911564625851,0.7707082833133253,441,0.7873868540921081,0.7614788185222287,0.7725533168163357,2485,0.8176355520167945,0.8217303822937626,0.8183138172321005,2485,438025389,437945360,109485316
multiemo_en_medicine_sentence-run-1,multiemo_en_medicine_sentence,bert-base-uncased,multiemo_en_medicine_sentence,4,16,5e-05,0.01,0,128,True,579.941467,0.7911699779249448,4.981229,0.5113636363636364,0.29411764705882354,0.37344398340248963,153,0.8009259259259259,0.7351274787535411,0.7666174298375183,706,0.7914438502673797,0.8571428571428571,0.8229842446709916,518,0.8099173553719008,0.8828828828828829,0.8448275862068966,888,0.7284126919822107,0.6923177164595261,0.7019683110294741,2265,0.7827226781792894,0.7911699779249448,0.7836121722813099,2265,438025389,437945360,109485316
multiemo_en_medicine_sentence-run-2,multiemo_en_medicine_sentence,bert-base-uncased,multiemo_en_medicine_sentence,4,16,5e-05,0.01,0,128,True,575.028834,0.7832229580573952,4.962093,0.5492957746478874,0.2549019607843137,0.34821428571428575,153,0.717948717948718,0.8328611898016998,0.7711475409836066,706,0.84375,0.7818532818532818,0.811623246492986,518,0.829050279329609,0.8355855855855856,0.8323051037577117,888,0.7350111929815535,0.6763005045062203,0.6908225442371475,2265,0.7788844134382404,0.7832229580573952,0.775812239942131,2265,438025389,437945360,109485316
multiemo_en_medicine_sentence-run-3,multiemo_en_medicine_sentence,bert-base-uncased,multiemo_en_medicine_sentence,4,16,5e-05,0.01,0,128,True,578.905565,0.798233995584989,4.950706,0.5137614678899083,0.3660130718954248,0.42748091603053434,153,0.7816901408450704,0.7861189801699717,0.7838983050847458,706,0.8221797323135756,0.8301158301158301,0.8261287223823247,518,0.8309859154929577,0.8637387387387387,0.8470458310325787,888,0.737154314135378,0.7114966552299914,0.7211384436325459,2265,0.7921780743134454,0.798233995584989,0.7942375980986649,2265,438025389,437945360,109485316
multiemo_en_medicine_sentence-run-4,multiemo_en_medicine_sentence,bert-base-uncased,multiemo_en_medicine_sentence,4,16,5e-05,0.01,0,128,True,574.73237,0.7801324503311259,4.948386,0.4659090909090909,0.2679738562091503,0.34024896265560167,153,0.7271589486858573,0.8229461756373938,0.772093023255814,706,0.8422174840085288,0.7625482625482626,0.8004052684903749,518,0.8250825082508251,0.8445945945945946,0.8347245409015025,888,0.7150920079635755,0.6745157222473503,0.6868679488258232,2265,0.7742164382889435,0.7801324503311259,0.7739519148359647,2265,438025389,437945360,109485316
multiemo_en_medicine_sentence-run-5,multiemo_en_medicine_sentence,bert-base-uncased,multiemo_en_medicine_sentence,4,16,5e-05,0.01,0,128,True,577.517369,0.7792494481236203,4.963717,0.45652173913043476,0.4117647058823529,0.4329896907216495,153,0.7665706051873199,0.7535410764872521,0.7600000000000001,706,0.7751798561151079,0.832046332046332,0.8026070763500931,518,0.8426453819840365,0.8322072072072072,0.8373937677053823,888,0.7102293956042247,0.7073898304057861,0.7082476336942812,2265,0.7774211646881477,0.7792494481236203,0.7779971540627552,2265,438025389,437945360,109485316
multiemo_en_products_sentence-run-1,multiemo_en_products_sentence,bert-base-uncased,multiemo_en_products_sentence,4,16,5e-05,0.01,0,128,True,195.716719,0.7304582210242587,1.844099,0.4744525547445255,0.4961832061068702,0.4850746268656716,131,0.7774798927613941,0.8430232558139535,0.8089260808926081,344,0.8440860215053764,0.8092783505154639,0.8263157894736842,194,0.6521739130434783,0.410958904109589,0.5042016806722688,73,0.6870480955136935,0.6398609291364692,0.6561295444760582,742,0.7290670506814949,0.7304582210242587,0.7263171614466719,742,438025389,437945360,109485316
multiemo_en_products_sentence-run-2,multiemo_en_products_sentence,bert-base-uncased,multiemo_en_products_sentence,4,16,5e-05,0.01,0,128,True,196.055252,0.7129380053908356,1.654638,0.43478260869565216,0.5343511450381679,0.4794520547945206,131,0.8181818181818182,0.7587209302325582,0.7873303167420815,344,0.7741935483870968,0.865979381443299,0.8175182481751825,194,0.6666666666666666,0.410958904109589,0.5084745762711864,73,0.6734561604828084,0.6425025902059035,0.6481937989957427,742,0.7240852860477619,0.7129380053908356,0.7134326581551755,742,438025389,437945360,109485316
multiemo_en_products_sentence-run-3,multiemo_en_products_sentence,bert-base-uncased,multiemo_en_products_sentence,4,16,5e-05,0.01,0,128,True,198.349679,0.706199460916442,1.66481,0.41566265060240964,0.5267175572519084,0.46464646464646464,131,0.8095238095238095,0.7906976744186046,0.8,344,0.8064516129032258,0.7731958762886598,0.7894736842105262,194,0.6111111111111112,0.4520547945205479,0.5196850393700787,73,0.660687296035139,0.6356664756199302,0.6434512970567674,742,0.7196640454439933,0.706199460916442,0.7104630585977691,742,438025389,437945360,109485316
multiemo_en_products_sentence-run-4,multiemo_en_products_sentence,bert-base-uncased,multiemo_en_products_sentence,4,16,5e-05,0.01,0,128,True,197.284628,0.6981132075471698,1.648684,0.4296875,0.4198473282442748,0.4247104247104247,131,0.7808988764044944,0.8081395348837209,0.7942857142857143,344,0.77,0.7938144329896907,0.7817258883248732,194,0.5344827586206896,0.4246575342465753,0.47328244274809156,73,0.628767283756296,0.6116147075910654,0.618501117517276,742,0.6917998886286474,0.6981132075471698,0.6941722264245114,742,438025389,437945360,109485316
