name,model_name,task_name,epochs,batch_size,learning_rate,weight_decay,warmup_steps,max_seq_length,do_lower_case,training_time,accuracy,eval_time,meta_amb_precision,meta_amb_recall,meta_amb_f1-score,meta_amb_support,meta_minus_m_precision,meta_minus_m_recall,meta_minus_m_f1-score,meta_minus_m_support,meta_plus_m_precision,meta_plus_m_recall,meta_plus_m_f1-score,meta_plus_m_support,meta_zero_precision,meta_zero_recall,meta_zero_f1-score,meta_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_all_text-run-2,huawei-noah/TinyBERT_General_4L_312D,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,118.288241,0.85,1.026343,0.625,0.5882352941176471,0.6060606060606061,136,0.8850574712643678,0.9085545722713865,0.8966521106259098,339,0.8553191489361702,0.8854625550660793,0.8701298701298702,227,0.9908256880733946,0.9152542372881356,0.9515418502202644,118,0.8390505770684831,0.8243766646858122,0.8310961092591627,820,0.8489138545851119,0.85,0.8490130814291433,820,57437831,57410096,14351500
multiemo_en_all_text-run-3,huawei-noah/TinyBERT_General_4L_312D,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,117.624303,0.8390243902439024,1.02397,0.6028368794326241,0.625,0.6137184115523466,136,0.8865671641791045,0.8761061946902655,0.8813056379821959,339,0.8516949152542372,0.8854625550660793,0.8682505399568035,227,0.9722222222222222,0.8898305084745762,0.9292035398230089,118,0.828330295272047,0.8190998145577302,0.8231195323285887,820,0.8421817710298627,0.8390243902439024,0.8402039091663328,820,57437831,57410096,14351500
multiemo_en_all_text-run-4,huawei-noah/TinyBERT_General_4L_312D,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,119.180747,0.8451219512195122,1.023095,0.6222222222222222,0.6176470588235294,0.6199261992619927,136,0.8945783132530121,0.8761061946902655,0.8852459016393444,339,0.8423236514522822,0.8942731277533039,0.8675213675213674,227,0.9732142857142857,0.923728813559322,0.9478260869565216,118,0.8330846181604505,0.8279387987066051,0.8301298888448065,820,0.8462573475718866,0.8451219512195122,0.8453404298092546,820,57437831,57410096,14351500
multiemo_en_all_text-run-5,huawei-noah/TinyBERT_General_4L_312D,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,120.27791,0.8390243902439024,1.021878,0.593103448275862,0.6323529411764706,0.6120996441281139,136,0.8936170212765957,0.8672566371681416,0.8802395209580839,339,0.8608695652173913,0.8722466960352423,0.8665207877461707,227,0.9482758620689655,0.9322033898305084,0.94017094017094,118,0.8239664742097037,0.8260149160525907,0.8247577232508271,820,0.8425758319594743,0.8390243902439024,0.8405940719082506,820,57437831,57410096,14351500
multiemo_en_all_text-run-1,huawei-noah/TinyBERT_General_6L_768D,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,406.024902,0.8597560975609756,3.68152,0.6193548387096774,0.7058823529411765,0.6597938144329898,136,0.8850574712643678,0.9085545722713865,0.8966521106259098,339,0.9296482412060302,0.8149779735682819,0.8685446009389671,227,0.9830508474576272,0.9830508474576272,0.9830508474576272,118,0.8542778496594257,0.853116436559618,0.8520103433638735,820,0.8674352336303728,0.8597560975609756,0.8620203032661166,820,267877805,267836432,66958084
multiemo_en_all_text-run-2,huawei-noah/TinyBERT_General_6L_768D,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,404.527315,0.8560975609756097,3.700563,0.6233766233766234,0.7058823529411765,0.6620689655172415,136,0.8768328445747801,0.8820058997050148,0.8794117647058824,339,0.9198113207547169,0.8590308370044053,0.8883826879271071,227,0.9911504424778761,0.9491525423728814,0.9696969696969698,118,0.852792807795999,0.8490179080058695,0.8498900969618002,820,0.8631444842850993,0.8560975609756097,0.85884034162114,820,267877805,267836432,66958084
multiemo_en_all_text-run-3,huawei-noah/TinyBERT_General_6L_768D,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,407.171924,0.8548780487804878,3.697401,0.6231884057971014,0.6323529411764706,0.6277372262773723,136,0.8823529411764706,0.8849557522123894,0.8836524300441827,339,0.8923766816143498,0.8766519823788547,0.8844444444444445,227,0.9747899159663865,0.9830508474576272,0.9789029535864979,118,0.8431769861385772,0.8442528808063354,0.8436842635881243,820,0.8554463256801468,0.8548780487804878,0.8551339926473125,820,267877805,267836432,66958084
multiemo_en_all_text-run-4,huawei-noah/TinyBERT_General_6L_768D,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,406.398945,0.8597560975609756,3.73609,0.6026490066225165,0.6691176470588235,0.6341463414634145,136,0.9009009009009009,0.8849557522123894,0.8928571428571428,339,0.908675799086758,0.8766519823788547,0.8923766816143498,227,0.9829059829059829,0.9745762711864406,0.978723404255319,118,0.8487829223790395,0.851325413209127,0.8495258925475565,820,0.8653877837581314,0.8597560975609756,0.8621723686538791,820,267877805,267836432,66958084
multiemo_en_all_text-run-5,huawei-noah/TinyBERT_General_6L_768D,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,410.233193,0.8536585365853658,3.740394,0.5822784810126582,0.6764705882352942,0.6258503401360545,136,0.9027355623100304,0.8761061946902655,0.8892215568862276,339,0.9162790697674419,0.8678414096916299,0.8914027149321269,227,0.9661016949152542,0.9661016949152542,0.9661016949152542,118,0.8418487020013462,0.846629971883111,0.8431440767174159,820,0.8624543632658915,0.8536585365853658,0.8572075247957651,820,267877805,267836432,66958084
multiemo_en_all_text-run-1,microsoft/xtremedistil-l6-h256-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,138.496728,0.8695121951219512,1.138912,0.6564885496183206,0.6323529411764706,0.644194756554307,136,0.9044776119402985,0.8938053097345132,0.8991097922848664,339,0.8865546218487395,0.9295154185022027,0.9075268817204302,227,0.9741379310344828,0.9576271186440678,0.9658119658119658,118,0.8554146786104603,0.8533251970143135,0.8541608490928924,820,0.8684104002653483,0.8695121951219512,0.8687599031613477,820,51049901,51008528,12751108
multiemo_en_all_text-run-2,microsoft/xtremedistil-l6-h256-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,136.90629,0.8536585365853658,1.151888,0.6159420289855072,0.625,0.6204379562043795,136,0.9122257053291536,0.8584070796460177,0.884498480243161,339,0.848,0.933920704845815,0.888888888888889,227,0.9911504424778761,0.9491525423728814,0.9696969696969698,118,0.8418295441981343,0.8416200817161785,0.8408805737583498,820,0.8566638808060993,0.8536585365853658,0.8541787403027409,820,51049901,51008528,12751108
multiemo_en_all_text-run-3,microsoft/xtremedistil-l6-h256-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,147.458008,0.8646341463414634,1.137112,0.6532258064516129,0.5955882352941176,0.6230769230769231,136,0.8872832369942196,0.9056047197640118,0.8963503649635036,339,0.8828451882845189,0.9295154185022027,0.9055793991416309,227,0.990990990990991,0.9322033898305084,0.9606986899563319,118,0.8535863056803356,0.8407279408477102,0.8464263442845974,820,0.8621591727999787,0.8646341463414634,0.8628417125379104,820,51049901,51008528,12751108
multiemo_en_all_text-run-4,microsoft/xtremedistil-l6-h256-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,136.707685,0.8707317073170732,1.135285,0.6590909090909091,0.6397058823529411,0.6492537313432835,136,0.8918128654970761,0.8997050147492626,0.895741556534508,339,0.9090909090909091,0.9251101321585903,0.9170305676855895,227,0.9739130434782609,0.9491525423728814,0.9613733905579399,118,0.8584769317892889,0.8534183929084189,0.8558498115303302,820,0.8698125616267602,0.8707317073170732,0.8701986513150616,820,51049901,51008528,12751108
multiemo_en_all_text-run-5,microsoft/xtremedistil-l6-h256-uncased,multiemo_en_all_text,4,8,5e-05,0.01,0,256,True,137.064396,0.8634146341463415,1.140998,0.6258992805755396,0.6397058823529411,0.6327272727272727,136,0.8952095808383234,0.8820058997050148,0.8885586924219911,339,0.9004329004329005,0.9162995594713657,0.908296943231441,227,0.9827586206896551,0.9661016949152542,0.9743589743589743,118,0.8510750956341047,0.851028259111144,0.8509854706849198,820,0.8645879703684302,0.8634146341463415,0.8639391108656832,820,51049901,51008528,12751108
